TICKER,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
A,0.014948483122307859,-0.02183426840734645,0.05168260841149384,0.04132660688925685,0.024144775415214356,-0.0018461858728640237,0.007151785685488405,-0.019589474843383196,0.003360566089077058,-0.005105750580882551,0.021552786256728473,0.030653108199453848
AAL,0.08010153478372253,-0.06629168119842135,-0.0033145281848482107,0.048106749078222474,-0.02802303998892177,-0.07010170613730936,0.1198678482633789,0.03181889900011661,0.006994548386618635,0.14249098230535875,-0.0391584219908618,0.08668305678814014
AAP,0.0031190593986808557,0.026215799251285456,0.03357383496042596,0.009244746690492548,0.0003511780348819685,-0.006003709523894305,-0.0033374483802882256,0.00302146821422302,-0.02021028180847815,0.054511916248951554,0.009569842878508383,0.03385319781811399
AAPL,-0.03509435924933528,0.03837468229478847,0.08177940760586035,0.048650779752377124,0.044244294253387356,-0.01639712499518544,0.05815179373843029,0.030512481748863705,-0.009883123826862527,0.05320390307945676,-0.00858244197088478,0.01463327466729344
ABC,0.03326720482653396,-0.008941601612574806,0.02913636718482384,0.0029998202979188778,0.018728240606530847,0.008964946875049118,0.012752459705947334,-0.013196354356946277,-0.010907414100157246,0.0213275061401793,0.024173049586558804,0.047621308446259156
ABT,0.007544001682862753,0.013234696878973627,0.01826843014014072,-0.0033591128527508322,0.013981885612851934,0.009298113615898596,0.027302901736181287,-0.014850965224084385,0.017720508900921916,0.019470297187161045,-0.0016957406805733432,0.014178027982889242
ACN,0.012419891490557626,-0.0028788614735823855,0.037678001308731134,0.037577930872873505,-0.0010190777336360859,0.013222898216650207,0.017390293557687175,-0.028236458233504878,0.03917974219835083,0.013660245687999173,-0.001011975279754862,0.029323279969737694
ADBE,-0.025377019761802642,0.028138540190393867,0.07245355661415706,0.021162640357651596,0.02339015470250185,-0.020078518941023284,0.014475874086701802,0.0027043528384535953,0.0012543483747765492,0.02926647079042146,-0.0190279424764343,0.04117884467078649
ADI,-0.004749862979463267,0.03254363870187522,0.03138912754592253,0.01996530916284264,0.03308313973612323,-0.01542224572111746,0.00799315465124829,-0.013746458179210901,-0.0027005446798385206,0.007547571659800134,0.015704874467715912,0.04258627458004778
ADM,-0.006151608477877798,0.02459101745914422,0.02386088614440525,0.004903793100141329,-0.02158038975734615,-0.02549360844805938,0.008977601179769685,-0.015648962726964064,-0.019516330188659715,0.05226525337132204,0.014354574209044868,0.05101184601870482
ADP,-0.023566042694215725,0.021786416304472454,0.03319644389368576,0.015592102595140584,-0.0013192136760132968,0.0025733591901930908,0.01660063124811173,-0.01085076727804232,0.009514968147954302,0.028278337935400466,0.03758137976531935,0.01764364635655331
ADS,-0.058875177467055,-0.018071892175532078,0.07055455070731526,0.05295972315523885,0.018974606202649204,-0.0029303137949339042,0.044993012441195364,-0.015982273058955197,0.021249394095811613,0.01795415389330971,0.009926660174344005,0.041677954082213406
